"","n","RMSE","Rsq","AdjRsq","Io","a"
"1",3,0.0380954851791132,-67.7596545905005,-84.9495682381257,920.862703591881,0.63399457469765
"2",4,0.0362888177393014,-6.91932515678295,-8.89915644597869,932.038749268776,0.61236489960586
"3",5,0.0354685279316463,-3.40375205569218,-4.50469006961523,926.694757484287,0.613551791302637
"4",6,0.0344872461048059,-1.49260769579683,-2.11575961974604,930.397619385976,0.604458919158443
"5",7,0.033990035282529,-0.832749981354763,-1.29093747669345,931.35927742451,0.598430799695559
"6",8,0.0333977394949501,-0.442952588727581,-0.803690735909476,932.158516103358,0.596001905698493
"7",9,0.0330468878470824,-0.233831959037411,-0.542289948796764,935.189219983214,0.58788615584512
"8",10,0.0328796629845752,-0.056272298723367,-0.320340373404209,934.337476832325,0.586361019671613
"9",11,0.0324651206814358,0.0772369214690127,-0.153453848163734,937.836032067606,0.577688044805609
"10",12,0.0323085051294569,0.173281508260064,-0.0333981146749203,937.451331064235,0.579259107105481
"11",13,0.0321115325899859,0.257960454363353,0.0724505679541915,936.849517193165,0.576027976091445
"12",14,0.0318189672021581,0.329822505318669,0.162278131648336,942.172970501732,0.56788660047365
"13",15,0.0317493149604893,0.389275004287687,0.236593755359608,937.422100349342,0.574882995799697
"14",16,0.0316942108376109,0.431992142460166,0.289990178075208,936.342567755725,0.576570949802635
"15",17,0.0315529334105959,0.473601885530729,0.342002356913411,938.93047742488,0.570371407160339
"16",18,0.031576810927676,0.513645559884927,0.392056949856159,933.324489801272,0.580640394369358
"17",19,0.0313445731580749,0.54281530488884,0.42851913111105,938.258354785013,0.569620899197957
"18",20,0.0313577009429824,0.570764058543612,0.463455073179515,933.534011391628,0.576772691585159
"19",21,0.0313193431956919,0.593152199355172,0.491440249193965,932.500466647692,0.576881490036753
"20",22,0.0311821371468196,0.616628683530125,0.520785854412656,933.355931189258,0.576519169490156
"21",23,0.0310946895570827,0.635884970073212,0.544856212591514,931.20706404079,0.576502582211353
"22",24,0.0310156978074256,0.653782491800164,0.567228114750205,929.936536757605,0.579780081875244
"23",25,0.0310430879174051,0.668728007585009,0.585910009481261,924.925885451564,0.585746370636839
"24",26,0.0309492347136351,0.684346064175296,0.605432580219119,923.140252881357,0.588960458498763
"25",27,0.0309478268481173,0.696103747056374,0.620129683820467,920.37183935577,0.590892131471677
