"","X.g.g.","Uncertainty","Arith..mean","Arith..stderr"
"Lattice",0.0492807609152477,1e-04,0.0506666666666667,0.00166666666666667
"SOC",0.00520789732843001,0.00247,0.00477533333333333,0.000329333333333333
