"","SqErr for Test value","Io","b"
"1",0.0132151654820769,786.680512003324,-0.0129556028762771
"2",0.0183436452724234,786.680468803283,-0.0129556125507038
"3",0.00340431932973554,786.330179263592,-0.0100072651129843
"4",0.0036548096382884,786.680684455332,-0.0129554902825628
"5",3.63481885345455e-07,786.359065641398,-0.010251979515922
"6",0.000243009463091415,786.359440553507,-0.0102519227588896
"7",4.93568045399003e-05,786.360093459125,-0.0102522365188557
"8",0.000828399415810813,786.320019478801,-0.010236040689886
"9",0.000875364839584548,786.359418557199,-0.0102519789612473
"10",0.000290042950581133,781.082824913402,-0.00821367425351305
"11",0.00228481960206983,787.507400440187,-0.0106918143293819
"12",0.0018558939694201,787.501140335561,-0.0106893952891815
"13",4.70640913893758e-05,786.360011688522,-0.0102520040887324
"14",0.000369341471791501,786.35893388652,-0.0102504754011498
"15",0.00106968652719944,786.360462134771,-0.0102531795361619
"16",8.03006170081633e-05,786.359326633844,-0.0102519046692763
"17",0.00090490524876775,785.344571649792,-0.00986182195822149
"18",0.000323054909643314,781.084023205873,-0.00821414258664091
"19",5.54704265848504e-05,781.088270636274,-0.00821581616162169
"20",0.00400690607919367,786.359143222759,-0.0102518751714299
"21",0.00105767420832669,786.360070298514,-0.0102556865958931
"22",0.00571895810155888,786.680741419924,-0.012955534588475
"23",0.00254980788865702,780.447250534574,-0.00655678387118155
"24",0.000340021073365554,786.321321025363,-0.0100022371811187
"25",9.95069172074285e-05,786.680260604983,-0.0129548900103804
"26",0.000502234459288679,786.358245281132,-0.0102524110983141
"27",0.00132206319220593,785.78727158974,-0.0100323719065938
