"","SqErr for Test value","Io","a","b"
"1",0.00203405010913604,902.320575391844,0.595600567831471,-0.00682654723114737
"2",0.00387807383287047,902.32187897456,0.595596708842439,-0.00682586622386901
"3",0.00149236584981871,903.347216478984,0.593004237866876,-0.00516316651948593
"4",0.000761657675168679,903.337167035632,0.593026247353184,-0.00516491215025066
"5",0.000170520539914827,923.648826525797,0.545866388760611,-0.00277828414576896
"6",0.000336178864608081,923.650108147013,0.545865614845103,-0.00277850553877885
"7",0.00048613039085521,923.64942772007,0.54586719136294,-0.00277836759785752
"8",0.00104554720966256,923.640929117796,0.545884146782047,-0.00277937735732941
"9",4.90860711433473e-05,923.643897879559,0.545876100680397,-0.00277849315238553
"10",0.000641847567933906,923.649599036838,0.545864549701653,-0.00277816674634554
"11",0.000158012004556844,903.339281699857,0.593023245471699,-0.00516469954644766
"12",5.82479704738223e-05,903.340016535838,0.59302171456983,-0.00516494323764389
"13",0.00311059403547476,1019.15231329313,0.431567067514268,-0.00138767014176607
"14",0.000929140166224685,949.445771696864,0.520229120074699,-0.00422693608717163
"15",0.00428138629232122,1019.13977222349,0.43157085973924,-0.00134168019499192
"16",0.000448777932501281,944.530443301364,0.527877425286059,-0.0044463426838951
"17",0.000190794674475895,991.660368263569,0.462754712902982,-0.00245674796037001
"18",0.000425319704039592,1019.13140820916,0.431579861973109,-0.00134501906733946
"19",5.97746480395883e-05,923.640049960898,0.545884332836793,-0.00277915117249717
"20",0.00228085833400666,903.335928961551,0.593028143417442,-0.00516484631088995
"21",0.000455146411508113,1019.15037161464,0.431560828513485,-0.00134155592049552
"22",0.00273962774767177,903.340524602439,0.593020519774691,-0.00516552382247949
"23",0.00140094264594762,906.49809868271,0.585158229835154,-2.07787032281689e-10
"24",4.59611922874852e-05,902.326518539272,0.595588620753442,-0.00682748536873705
"25",0.000282131503840238,1006.39680291787,0.445451840404556,-0.00184399747724893
"26",0.000769145639932314,1015.04489672691,0.43548450169157,-0.00139870554380642
"27",0.00130602639768355,923.642899931773,0.545878033320434,-0.00277874299996494
