"","SqErr for Test value","Io","a"
"1",0.00437587193268426,882.707182177773,0.662204697634101
"2",0.00696229545994556,882.70814314875,0.662202838338753
"3",0.000720970127297694,896.088341571959,0.636175004429686
"4",0.00158664189066317,882.708542612626,0.662201851723151
"5",0.000148095018695806,905.47444651747,0.610998836292074
"6",5.65671417052229e-05,905.474665503199,0.610998213184095
"7",5.90318089909011e-05,905.473739886332,0.611000587832574
"8",0.000485031343083134,905.474643258732,0.610998387608319
"9",0.000193504371503297,896.091220392753,0.636169071762627
"10",0.000138265250345132,905.475658134361,0.610996050216403
"11",0.000753045823933748,896.088529431641,0.636174622274642
"12",0.000511042823163957,896.085985683529,0.636179827360325
"13",0.00145834031192982,896.088616587638,0.636174140122158
"14",0.000717975569330039,896.087788539479,0.636176195035883
"15",0.00258580189447502,896.088971061269,0.636173876378742
"16",0.00043217669803048,896.089104913237,0.636173583832502
"17",5.56560017176265e-05,896.090301994084,0.636170463963216
"18",0.000289206474518281,896.088884277931,0.636173671565492
"19",5.42907254836956e-05,896.088149324913,0.636175674686078
"20",0.00200103523820508,882.70812895668,0.662202894432446
"21",1.56186339584984e-05,882.708469524273,0.662202000931931
"22",0.00409523605776757,905.473875376356,0.611000390860631
"23",2.11377937923045e-05,905.475097433019,0.610997299593315
"24",0.000324712275313284,905.476098962018,0.610994511635808
"25",4.51554147307139e-06,896.08941266868,0.636171981927148
"26",9.94638409261247e-05,896.093658934097,0.63616096838448
"27",0.000705236917185087,905.474928304743,0.610997691656853
